final_stage_simple,stage_time_window,provider_number,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
IV,pre_stage,2233.0,494,5,97649.50319847967,92.00305003557766,197.67105910623414,11.995,19529.900639695934,98.8,8775181.83277912,0.011127917923445906,10.0
IV,0_to_90,2244.0,2049,60,1408227.9933755721,524.4088627912139,687.27574103249,0.0,23470.466556259536,34.15,2978085.9385767872,0.47286345069294994,1.0
IV,0_to_90,2236.0,894,29,479373.7164901665,240.1966133342333,536.2122108391125,3.6,16530.128154833328,30.82758620689655,2978085.9385767872,0.16096705279071188,2.0
IV,0_to_90,2223.0,563,13,202325.3526532015,164.43056436607685,359.370075760571,0.0,15563.488665630884,43.30769230769231,2978085.9385767872,0.06793805042103379,3.0
IV,0_to_90,2254.0,78,4,150316.05,22.0,1927.128846153846,103.535,37579.0125,19.5,2978085.9385767872,0.05047404712297701,4.0
IV,0_to_90,2283.0,386,20,102021.06673311412,120.57872585214426,264.3032816920055,8.83,5101.053336655706,19.3,2978085.9385767872,0.034257260816949256,5.0
IV,0_to_90,7889.0,58,1,101150.47,15.0,1743.9736206896553,0.0,101150.47,58.0,2978085.9385767872,0.03396492649514987,6.0
IV,0_to_90,2281.0,143,10,41187.73608369252,33.09132281430935,288.02612645938825,0.0,4118.7736083692525,14.3,2978085.9385767872,0.013830271165168571,7.0
IV,0_to_90,2266.0,213,4,37424.02650358791,93.00301948376332,175.69965494642213,8.54,9356.006625896978,53.25,2978085.9385767872,0.012566469630313179,8.0
IV,0_to_90,2228.0,201,7,36179.36799036204,44.00173428153899,179.996855673443,10.92,5168.481141480292,28.714285714285715,2978085.9385767872,0.01214853054497547,9.0
IV,0_to_90,2262.0,124,1,27624.5,12.0,222.77822580645162,0.0,27624.5,124.0,2978085.9385767872,0.009275924392296622,10.0
IV,post_90,2244.0,14154,62,14845145.840243354,3844.5018918087226,1048.8304253386573,0.0,239437.83613295734,228.29032258064515,24623665.858682945,0.6028812251368563,1.0
IV,post_90,2236.0,4031,40,2500894.945885619,1200.5142341223038,620.4155162206944,10.37,62522.37364714048,100.775,24623665.858682945,0.1015646882246714,2.0
IV,post_90,2223.0,2180,13,800342.9150656771,752.3784427364865,367.1297775530629,0.0,61564.8396204367,167.69230769230768,24623665.858682945,0.03250299608754053,3.0
IV,post_90,2254.0,457,9,789358.4762625693,166.5883285706862,1727.2614360231275,153.998237904739,87706.4973625077,50.77777777777778,24623665.858682945,0.03205690333814455,4.0
IV,post_90,2283.0,5434,22,713580.6238944475,1373.1918140352698,131.3177445517938,6.28216710613854,32435.482904293065,247.0,24623665.858682945,0.02897946341498215,5.0
IV,post_90,2266.0,1315,5,661175.3899049077,360.43228641056044,502.7949733117169,5.22,132235.07798098153,263.0,24623665.858682945,0.02685121678061433,6.0
IV,post_90,2282.0,501,3,547472.2841552867,97.5552831079327,1092.7590502101532,0.0,182490.76138509557,167.0,24623665.858682945,0.022233581599802037,7.0
IV,post_90,7997.0,208,1,466509.55,96.0,2242.834375,622.18,466509.55,208.0,24623665.858682945,0.018945576693467702,8.0
IV,post_90,2098.0,367,2,288499.3600219091,170.84987277762758,786.1017984248205,85.14,144249.68001095456,183.5,24623665.858682945,0.011716344823619215,9.0
IV,post_90,7889.0,120,1,276913.39,22.0,2307.6115833333333,0.0,276913.39,120.0,24623665.858682945,0.011245823086993895,10.0
