final_stage_simple,stage_time_window,DRUG_NM,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
III,0_to_90,XARELTO,2,2,1582.4099999999999,120.0,791.2049999999999,791.2049999999999,791.2049999999999,1.0,204227.5278613181,0.007748269866315693,9.0
III,0_to_90,PROCHLORPERAZINE MALEA,69,50,1511.5095689175305,766.0489256093788,21.905935781413486,19.01,30.23019137835061,1.38,204227.5278613181,0.007401105936825175,10.0
III,post_90,IBRANCE,143,8,1828315.0246650968,3738.819119446603,12785.419752902775,13582.53,228539.3780831371,17.875,4758606.481217288,0.38421227556463117,1.0
III,post_90,VERZENIO,87,10,1272192.9877481367,2409.8010114240824,14622.907905150996,14711.4802789028,127219.29877481368,8.7,4758606.481217288,0.2673457014715577,2.0
III,post_90,KISQALI,16,3,242414.6709557635,448.5794193676283,15150.916934735218,14916.2360898962,80804.89031858783,5.333333333333333,4758606.481217288,0.05094236556702036,3.0
III,post_90,OZEMPIC,114,8,148828.3551460957,4788.042346139027,1305.5118872464536,923.2,18603.544393261964,14.25,4758606.481217288,0.031275617291225195,4.0
III,post_90,TRUQAP,6,1,131888.96060992932,168.2431907722572,21981.49343498822,21873.4012061123,131888.96060992932,6.0,4758606.481217288,0.02771587882513687,5.0
III,post_90,ELIQUIS,129,15,92685.1595953905,5268.97049404427,718.4896092665931,521.9,6179.0106396927,8.6,4758606.481217288,0.01947737430300833,6.0
III,post_90,PERCOCET,31,1,79784.71126122672,930.0000102180013,2573.700363265378,2566.68,79784.71126122672,31.0,4758606.481217288,0.01676640242813631,7.0
III,post_90,ENTRESTO,74,3,65349.616640926586,3165.290785490507,883.102927580089,628.3299999999999,21783.20554697553,24.666666666666668,4758606.481217288,0.013732931457742572,8.0
III,post_90,JARDIANCE,77,6,51351.431940283626,2882.3687368325627,666.9017135101769,568.390802908848,8558.57199004727,12.833333333333334,4758606.481217288,0.010791275164898176,9.0
III,post_90,TRELEGY ELLIPTA,51,4,37316.3049521436,1830.1739211429815,731.6922539635999,625.33,9329.0762380359,12.75,4758606.481217288,0.007841855614544911,10.0
IV,pre_stage,IBRANCE,155,11,1686629.2406286867,4291.072171161493,10881.478971797978,11609.87,153329.93096624425,14.090909090909092,2252264.8167758025,0.7488592052168878,1.0
IV,pre_stage,VERZENIO,5,3,61727.971206481,140.0000024472002,12345.5942412962,11755.85,20575.990402160332,1.6666666666666667,2252264.8167758025,0.02740706632128934,2.0
IV,pre_stage,KISQALI,3,1,46931.712647649896,84.07725372940331,15643.904215883298,14442.2726476499,46931.712647649896,3.0,2252264.8167758025,0.020837564170111362,3.0
IV,pre_stage,ENOXAPARIN SODIUM,9,2,36822.89560088021,243.061327829322,4091.4328445422457,6030.98,18411.447800440106,4.5,2252264.8167758025,0.0163492744399362,4.0
IV,pre_stage,XARELTO,64,4,36323.4,2413.0,567.553125,452.02,9080.85,16.0,2252264.8167758025,0.016127499630349082,5.0
IV,pre_stage,TOUJEO SOLOSTAR,10,1,31457.510000000002,895.0,3145.751,3218.03,31457.510000000002,10.0,2252264.8167758025,0.013967056522701691,6.0
IV,pre_stage,VICTOZA 3-PAK,36,2,31439.73,1380.0,873.3258333333333,809.28,15719.865,18.0,2252264.8167758025,0.013959162246741081,7.0
IV,pre_stage,NOVOLOG FLEXPEN,10,1,24259.739999999998,890.0,2425.9739999999997,2300.175,24259.739999999998,10.0,2252264.8167758025,0.010771264470902086,8.0
IV,pre_stage,OXYCONTIN,32,1,20984.55,945.0,655.7671875,589.6,20984.55,32.0,2252264.8167758025,0.009317088223240165,9.0
IV,pre_stage,TREXIMET,20,1,16845.6,511.0,842.28,731.12,16845.6,20.0,2252264.8167758025,0.007479404675030655,10.0
IV,0_to_90,IBRANCE,50,19,604418.318850267,1400.0988789124838,12088.366377005339,11667.34,31811.490465803527,2.6315789473684212,953274.4762362755,0.6340443743302929,1.0
IV,0_to_90,VERZENIO,17,7,214394.0152121633,476.0564267739769,12611.412659539017,12402.6,30627.71645888047,2.4285714285714284,953274.4762362755,0.224902712237335,2.0
IV,0_to_90,KISQALI,5,2,76138.95368642881,140.0644239232152,15227.790737285763,14442.8654343957,38069.476843214405,2.5,953274.4762362755,0.07987096642620824,3.0
IV,0_to_90,ENOXAPARIN SODIUM,3,1,15277.689999999999,90.0,5092.563333333333,6030.98,15277.689999999999,3.0,953274.4762362755,0.01602653840090157,4.0
IV,0_to_90,ELIQUIS,6,4,4702.00329315882,300.000190674404,783.66721552647,487.79,1175.500823289705,1.5,953274.4762362755,0.004932475808775769,5.0
IV,0_to_90,VICTOZA 3-PAK,3,1,2724.09,90.0,908.0300000000001,908.03,2724.09,3.0,953274.4762362755,0.00285761348688918,6.0
IV,0_to_90,LANTUS SOLOSTAR,2,1,2513.02,122.0,1256.51,1256.51,2513.02,2.0,953274.4762362755,0.002636197719173099,7.0
IV,0_to_90,XARELTO,3,2,2410.05,150.0,803.35,496.89,1205.025,1.5,953274.4762362755,0.0025281805608762076,8.0
IV,0_to_90,HUMALOG,3,1,2144.73,90.0,714.91,766.78,2144.73,3.0,953274.4762362755,0.002249855685287869,9.0
IV,0_to_90,CAPECITABINE,3,1,1899.29,84.0,633.0966666666667,670.34,1899.29,3.0,953274.4762362755,0.001992385244068203,10.0
IV,post_90,IBRANCE,516,24,6626015.638112657,14508.94298840117,12841.115577737706,12533.28,276083.9849213607,21.5,12301793.769803487,0.5386219084876191,1.0
IV,post_90,VERZENIO,152,7,2049272.7048812858,4256.895165370132,13482.057268955827,13473.93,292753.2435544694,21.714285714285715,12301793.769803487,0.16658324332436128,2.0
IV,post_90,NERLYNX,77,3,1468191.9962869433,2790.366775539764,19067.428523207058,14939.53,489397.33209564775,25.666666666666668,12301793.769803487,0.11934779787081382,3.0
IV,post_90,KISQALI,34,3,533511.5690519934,952.3381735720526,15691.516736823336,15603.1219729835,177837.1896839978,11.333333333333334,12301793.769803487,0.04336859965589522,4.0
IV,post_90,LYNPARZA,18,3,266077.5258010968,540.0921596035315,14782.084766727601,14799.369999999999,88692.5086003656,6.0,12301793.769803487,0.021629164882784994,5.0
IV,post_90,ORSERDU,10,2,233557.0749327933,300.0389284859879,23355.70749327933,23290.0567903601,116778.53746639665,5.0,12301793.769803487,0.018985611310286518,6.0
IV,post_90,EVEROLIMUS,15,2,150718.69323697375,420.0025410100212,10047.912882464916,10178.2,75359.34661848687,7.5,12301793.769803487,0.01225176556015224,7.0
IV,post_90,ELIQUIS,151,10,88121.41480624692,5201.279238074802,583.5855285181915,533.69,8812.141480624692,15.1,12301793.769803487,0.007163298008015184,8.0
IV,post_90,TRUQAP,3,1,68718.2789541586,140.187089081562,22906.092984719533,22911.2000553626,68718.2789541586,3.0,12301793.769803487,0.005586037308058069,9.0
IV,post_90,ARIKAYCE,4,1,60685.962323181404,112.11876312560639,15171.490580795351,15171.49964862585,60685.962323181404,4.0,12301793.769803487,0.0049330986568921174,10.0
