final_stage_simple,stage_time_window,DRUG_NM,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
II,0_to_90,LUPRON DEPOT,2,1,1435.53,56.0,717.765,717.765,1435.53,2.0,25236.608983323444,0.056882840358964626,4.0
II,0_to_90,GANIRELIX ACETATE,1,1,981.02,5.0,981.02,981.02,981.02,1.0,25236.608983323444,0.038872892972596516,5.0
II,0_to_90,PROCHLORPERAZINE MALEA,42,32,915.1169539300632,451.1766356835287,21.788498903096745,21.0566998302751,28.597404810314476,1.3125,25236.608983323444,0.0362614864197793,6.0
II,0_to_90,POTASSIUM CHLORIDE,4,3,713.86,94.0,178.465,215.475,237.95333333333335,1.3333333333333333,25236.608983323444,0.02828668465211489,7.0
II,0_to_90,DEXAMETHASONE,50,23,637.2984349772285,273.0596969638689,12.74596869954457,11.435000248384998,27.708627607705584,2.1739130434782608,25236.608983323444,0.025252934552275244,8.0
II,0_to_90,TAMOXIFEN CITRATE,9,4,213.11,270.0,23.678888888888892,24.41,53.2775,2.25,25236.608983323444,0.008444478421836502,9.0
II,0_to_90,LETROZOLE,7,3,195.66,185.0,27.951428571428572,9.38,65.22,2.3333333333333335,25236.608983323444,0.007753022608120359,10.0
II,post_90,IBRANCE,7,1,87348.65999999999,196.0,12478.38,12478.38,87348.65999999999,7.0,216218.70431313405,0.4039829036876439,1.0
II,post_90,VERZENIO,4,1,54552.96,112.0,13638.24,13638.24,54552.96,4.0,216218.70431313405,0.25230453661860286,2.0
II,post_90,EXEMESTANE,137,11,28549.156825505182,6059.650739464812,208.38800602558527,161.14,2595.3778932277437,12.454545454545455,216218.70431313405,0.13203833089370237,3.0
II,post_90,NEUPOGEN,3,2,11634.89,30.0,3878.2966666666666,3230.03,5817.445,1.5,216218.70431313405,0.05381074702561358,4.0
II,post_90,CAPECITABINE,23,2,10714.41,623.0,465.84391304347827,446.89,5357.205,11.5,216218.70431313405,0.04955357601478866,5.0
II,post_90,ANASTROZOLE,452,37,8813.196944144604,22114.165562311024,19.498223327753546,12.88,238.19451200390822,12.216216216216216,216218.70431313405,0.04076056681655572,6.0
II,post_90,TAMOXIFEN CITRATE,179,13,4880.545022657993,5958.813570318481,27.265614651720632,24.41,375.42654020446105,13.76923076923077,216218.70431313405,0.022572260980668214,7.0
II,post_90,POTASSIUM CHLORIDE,10,2,1909.49,128.0,190.949,237.93,954.745,5.0,216218.70431313405,0.008831289624391711,8.0
II,post_90,LETROZOLE,74,7,1378.612948334465,3000.4100670588246,18.6299047072225,11.0009608588843,196.94470690492358,10.571428571428571,216218.70431313405,0.006376011514424389,9.0
II,post_90,ELIQUIS,2,1,1160.1491256811419,60.095784806067996,580.0745628405709,580.0745628405709,1160.1491256811419,2.0,216218.70431313405,0.0053656279615892115,10.0
III,pre_stage,IBRANCE,7,1,83555.15000000001,196.0,11936.45,11936.45,83555.15000000001,7.0,85512.92443997841,0.9771055141336844,1.0
III,pre_stage,EXEMESTANE,4,1,698.09,120.0,174.5225,173.81,698.09,4.0,85512.92443997841,0.00816356129288959,2.0
III,pre_stage,TAMOXIFEN CITRATE,13,2,329.0654524374142,390.0052410484597,25.31272711057032,25.7,164.5327262187071,6.5,85512.92443997841,0.003848137045861243,3.0
III,pre_stage,PROCHLORPERAZINE MALEA,13,7,319.6730843050571,155.02161825482978,24.590237254235163,29.14,45.667583472151016,1.8571428571428572,85512.92443997841,0.003738301390094966,4.0
III,pre_stage,DEXAMETHASONE,18,6,182.2197455706132,87.05049478798685,10.123319198367401,10.7365690965405,30.369957595102203,3.0,85512.92443997841,0.0021309029806191857,5.0
III,pre_stage,LETROZOLE,4,2,102.18,120.0,25.545,25.545,51.09,2.0,85512.92443997841,0.001194907093508657,6.0
III,pre_stage,ANASTROZOLE,10,3,94.32586396389837,420.0958456450044,9.432586396389837,7.679819509596025,31.44195465463279,3.3333333333333335,85512.92443997841,0.0011030597372459852,7.0
III,pre_stage,VENLAFAXINE HCL,3,1,87.21000000000001,270.0,29.070000000000004,31.07,87.21000000000001,3.0,85512.92443997841,0.0010198458370022508,8.0
III,pre_stage,HYDROCORTISONE,1,1,59.65,30.0,59.65,59.65,59.65,1.0,85512.92443997841,0.0006975553741220531,9.0
III,pre_stage,METRONIDAZOLE,3,1,40.2,30.0,13.4,13.3,40.2,3.0,85512.92443997841,0.000470104376189548,10.0
III,0_to_90,IBRANCE,3,1,35809.350000000006,84.0,11936.450000000003,11936.45,35809.350000000006,3.0,37657.708566879795,0.9509168603926837,1.0
III,0_to_90,EXEMESTANE,3,1,462.27,90.0,154.09,154.09,462.27,3.0,37657.708566879795,0.012275574313795862,2.0
III,0_to_90,PROCHLORPERAZINE MALEA,21,14,437.153419922631,234.00819592739137,20.816829520125285,20.2,31.225244280187926,1.5,37657.708566879795,0.011608603830640675,3.0
III,0_to_90,DEXAMETHASONE,18,9,245.1345045335747,203.0073132102057,13.618583585198595,11.45,27.23716717039719,2.0,37657.708566879795,0.006509543832127165,4.0
III,0_to_90,SUCRALFATE,1,1,185.86,10.0,185.86,185.86,185.86,1.0,37657.708566879795,0.0049355100741170724,5.0
III,0_to_90,LETROZOLE,7,4,143.66,330.0292582600572,20.52285714285714,10.58,35.915,1.75,37657.708566879795,0.003814889579509623,6.0
III,0_to_90,ANASTROZOLE,5,4,57.37474201286008,210.02558876769598,11.474948402572016,11.4300161266098,14.34368550321502,1.25,37657.708566879795,0.0015235855870243138,7.0
III,0_to_90,HYDROCODONE-ACETAMINOP,4,1,50.6184426436522,68.0135922947025,12.65461066091305,11.2817052331305,50.6184426436522,4.0,37657.708566879795,0.0013441721381892964,8.0
III,0_to_90,ALBUTEROL SULFATE HFA,1,1,42.9964989337128,25.0046107527048,42.9964989337128,42.9964989337128,42.9964989337128,1.0,37657.708566879795,0.00114177151425322,9.0
III,0_to_90,LIDOCAINE-PRILOCAINE,2,2,36.522534289595896,45.005438389690696,18.261267144797948,18.261267144797948,18.261267144797948,1.0,37657.708566879795,0.0009698554606617171,10.0
III,post_90,IBRANCE,51,2,535782.91,1211.0,10505.547254901961,12533.28,267891.455,25.5,648675.1537458039,0.82596490231836,1.0
III,post_90,VERZENIO,4,2,58304.1300874922,112.08359870437,14576.03252187305,14575.53697596575,29152.0650437461,2.0,648675.1537458039,0.08988186113004695,2.0
III,post_90,PIQRAY,1,1,20893.46,28.0063175726972,20893.46,20893.46,20893.46,1.0,648675.1537458039,0.032209434690614824,3.0
