final_stage_simple,stage_time_window,HCPCS,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
III,0_to_90,J9306,28,11,389261.7456079557,24.01246159164233,13902.205200284132,11394.825,35387.431418905064,2.5454545454545454,5096178.918905496,0.07638306107422878,3.0
III,0_to_90,J9355,40,8,216921.37911251182,25.0,5423.034477812796,3400.49,27115.172389063977,5.0,5096178.918905496,0.042565495161049,4.0
III,0_to_90,36561,72,41,207524.3668334762,72.33003289676697,2882.2828726871694,1321.234030264025,5061.569922767712,1.7560975609756098,5096178.918905496,0.04072156220096883,5.0
III,0_to_90,96413,416,75,198573.41510075252,244.6222487268316,477.33994014603974,301.680883525931,2647.6455346767,5.546666666666667,5096178.918905496,0.038965157672172165,6.0
III,0_to_90,J2506,43,16,133789.3904119183,38.07517308991743,3111.3811723701933,3053.04951183175,8361.836900744895,2.6875,5096178.918905496,0.02625288329567758,7.0
III,0_to_90,96375,406,70,82979.17471332593,276.90349197432766,204.38220372740378,149.841637049853,1185.416781618942,5.8,5096178.918905496,0.01628262587200281,8.0
III,0_to_90,J9264,17,3,67018.81700211464,10.008640809604291,3942.2833530655666,5741.32350028991,22339.605667371547,5.666666666666667,5096178.918905496,0.013150797503104196,9.0
III,0_to_90,77334,74,24,64959.16622817964,66.16519165249974,877.8265706510762,342.486116670476,2706.6319261741514,3.0833333333333335,5096178.918905496,0.012746641603809878,10.0
III,post_90,J9271,125,19,2996763.985277432,116.67017237085064,23974.111882219455,23884.39,157724.42027775958,6.578947368421052,13964633.42460997,0.2145966810697812,1.0
III,post_90,J9306,133,13,1525580.2983287838,92.37041701049755,11470.528558863036,11320.25,117352.33064067567,10.23076923076923,13964633.42460997,0.10924599679360313,2.0
III,post_90,J9355,122,9,981207.2933113679,68.2737783326538,8042.6827320603925,8771.33,109023.03259015198,13.555555555555555,13964633.42460997,0.07026373435497271,3.0
III,post_90,J9354,73,3,526734.16,39.0,7215.536438356165,5752.52,175578.05333333334,24.333333333333332,13964633.42460997,0.03771915409334933,4.0
III,post_90,J0897,108,10,379212.5523966364,105.15198718898986,3511.2273370058924,2691.4842781553252,37921.25523966364,10.8,13964633.42460997,0.027155209941160895,5.0
III,post_90,96413,792,71,360588.1348178322,320.6470787000894,455.2880490124144,317.617382055897,5078.7061241948195,11.154929577464788,13964633.42460997,0.025821525266990913,6.0
III,post_90,J1950,71,6,322089.73182612995,68.90765163723474,4536.475096142675,3589.27426563482,53681.62197102166,11.833333333333334,13964633.42460997,0.023064675028168585,7.0
III,post_90,J9264,40,5,315987.29910151137,34.03898911745146,7899.6824775377845,7209.23917906794,63197.459820302276,8.0,13964633.42460997,0.022627683054296632,8.0
III,post_90,Q5116,23,2,309408.1019690171,18.00826211691684,13452.526172565962,17216.6267124004,154704.05098450856,11.5,13964633.42460997,0.022156550233803137,9.0
III,post_90,J9358,21,2,303278.16037438245,22.08554890489388,14441.81716068488,6944.07367193595,151639.08018719123,10.5,13964633.42460997,0.021717588364325642,10.0
IV,pre_stage,J9355,208,9,1720679.3,72.0,8272.496634615385,8945.9,191186.5888888889,23.11111111111111,7176917.493845219,0.23975185746187277,1.0
IV,pre_stage,J9306,165,9,1590513.01,130.0,9639.472787878787,9484.15,176723.66777777777,18.333333333333332,7176917.493845219,0.22161506125213118,2.0
IV,pre_stage,J9395,152,10,476206.98244268866,132.14919902388374,3132.940673965057,3001.52,47620.69824426887,15.2,7176917.493845219,0.06635257864550823,3.0
IV,pre_stage,J9354,32,1,388248.53,22.0,12132.7665625,10664.585,388248.53,32.0,7176917.493845219,0.05409683618809248,4.0
IV,pre_stage,J2505,46,10,337639.39,31.0,7339.986739130435,8756.98,33763.939,4.6,7176917.493845219,0.04704518204222813,5.0
IV,pre_stage,J0897,87,14,268905.0754077686,85.07297651769508,3090.862935721478,2156.03,19207.505386269186,6.214285714285714,7176917.493845219,0.037468046085018566,6.0
IV,pre_stage,96413,403,20,197415.3152248309,127.0,489.86430576881116,541.13,9870.765761241546,20.15,7176917.493845219,0.027506978503533074,7.0
IV,pre_stage,78815,143,45,182091.095575076,140.38363682169498,1273.364304720811,1211.47,4046.4687905572446,3.1777777777777776,7176917.493845219,0.025371769388631497,8.0
IV,pre_stage,J9264,28,3,155459.33888737476,26.356354235314498,5552.11924597767,5806.547048925981,51819.77962912492,9.333333333333334,7176917.493845219,0.021661017981702255,9.0
IV,pre_stage,J9271,3,1,98172.8716317872,3.1416373072460297,32724.290543929066,32875.8643666403,98172.8716317872,3.0,7176917.493845219,0.013678974534119738,10.0
IV,0_to_90,J9355,77,16,521771.73,45.0,6776.256233766234,6533.03,32610.733125,4.8125,2666542.738298443,0.19567349231122752,1.0
IV,0_to_90,J9306,50,14,492180.59410469467,35.00661705180984,9843.611882093894,9798.474999999999,35155.75672176391,3.5714285714285716,2666542.738298443,0.18457630062916663,2.0
IV,0_to_90,J0897,49,24,203894.1104656664,48.12272413546822,4161.104295217681,4128.43,8495.587936069433,2.0416666666666665,2666542.738298443,0.07646384493944919,3.0
IV,0_to_90,J9317,8,1,177242.0939190506,6.11090550296814,22155.261739881324,22169.83595684365,177242.0939190506,8.0,2666542.738298443,0.06646887423681465,4.0
IV,0_to_90,J2505,11,3,97566.28,9.0,8869.661818181818,8429.95,32522.093333333334,3.6666666666666665,2666542.738298443,0.036589055408224345,5.0
IV,0_to_90,J9395,36,13,88028.42065339872,34.04422058574571,2445.2339070388534,2092.9,6771.416973338362,2.769230769230769,2666542.738298443,0.033012191925178305,6.0
IV,0_to_90,96413,153,32,64009.51790266054,40.00099293467644,418.36286210889244,543.76,2000.2974344581419,4.78125,2666542.738298443,0.024004684786528445,7.0
IV,0_to_90,78815,46,24,54557.096399942515,43.36505411462068,1186.023834781359,588.5171575063409,2273.2123499976046,1.9166666666666667,2666542.738298443,0.0204598619839696,8.0
IV,0_to_90,36561,21,13,54370.74063067706,21.00710280417323,2589.0828871750978,2299.5,4182.364663898235,1.6153846153846154,2666542.738298443,0.02038997532264259,9.0
IV,0_to_90,77386,31,3,42253.070602375214,31.30425873512112,1363.0022774959746,1007.60119660622,14084.356867458404,10.333333333333334,2666542.738298443,0.015845637872407576,10.0
IV,post_90,J9306,398,15,4884169.466163524,342.1520227816617,12271.782578300312,11451.26,325611.29774423497,26.533333333333335,22889882.079297766,0.21337678583241373,1.0
IV,post_90,J9355,496,18,4783421.941781443,174.27194403698687,9643.99585036581,9449.35,265745.66343230236,27.555555555555557,22889882.079297766,0.208975385946077,2.0
IV,post_90,J0897,473,38,2007227.4027676997,465.6047257030708,4243.609731009936,4128.43,52821.77375704473,12.447368421052632,22889882.079297766,0.08769059603776164,3.0
IV,post_90,J9354,149,5,1746296.8691862384,88.30899277356139,11720.113216015023,9078.45,349259.37383724767,29.8,22889882.079297766,0.07629121299692658,4.0
IV,post_90,J9358,63,5,1406322.895720576,63.50471143420487,22322.585646358348,24351.0437102919,281264.5791441152,12.6,22889882.079297766,0.06143862562719328,5.0
IV,post_90,J9264,222,9,1074389.9733850874,186.62927586286602,4839.594474707601,5724.20767444604,119376.66370945417,24.666666666666668,22889882.079297766,0.04693733107331274,6.0
IV,post_90,J9395,548,26,964050.705261141,500.1026656988529,1759.2166154400381,660.03,37078.87327927465,21.076923076923077,22889882.079297766,0.042116892604398985,7.0
IV,post_90,J9317,38,4,524332.5830311831,27.65357969986848,13798.22586924166,11439.82,131083.14575779578,9.5,22889882.079297766,0.02290674024508863,8.0
IV,post_90,J9022,45,2,513804.12,39.0,11417.869333333334,6263.74,256902.06,22.5,22889882.079297766,0.022446778809083443,9.0
IV,post_90,96413,1112,38,497871.35666828434,96.39342135126302,447.72604016932047,503.11558798763497,13101.877807060115,29.263157894736842,22889882.079297766,0.021750717410579094,10.0
